NaiveBcell,MarginalZone,PlasmaCells,GC_DarkZone,GC_LightZone,GC_LZ_help,GC_DZ_reentry,MemoryCells,PreMemCells
Ighd,Cd1d1,Bhlha15,Pif1,Egr1,Itgb2,Aicda,Pml,Pbx3
,,Sdc1,Otub2,Egr2,Cxcr5,Cxcr4,Phf21a,Ncoa1
,,Prdm1,Psrc1,Ccnd2,Tgfbr2,Xrcc4,Runx3,Etv6
,,Irf4,Lrrc49,Cd69,Il21r,Cd24a,Klf9,Efnb1
,,Xbp1,Ccnb2,Cd86,Ebf1,Mki67,Zbtb20,S1pr3
,,Atf6,Mnd1,Cd40,Irf8,Foxo1,Kmt2c,Bmpr1a
,,Creb3,Lgr5,Slamf1,Nfkb2,Tcf3,Ski,Cd86
,,Cd28,Adhfe1,Ifi30,Icosl,,Tcf4,Cd59a
,,Ly6c1,Pafah1b3,Myc,Slamf1,,Bmi1,
,,Il13ra1,Hmmr,S1pr3,Tnfrsf13c,,Cd80,
,,Itgb5,Tifa,Il4i1,,,Il6ra,
,,Selplg,Reln,Ccr6,,,Itgb7,
,,Lgals1,Sepp1,Cd83,,,Ccr6,
,,,Cdkn3,Gpr183,,,Pecam1,
,,,Gcnt3,Nfkbia,,,Nid1,
,,,Cdc20,Plscr1,,,Rgmb,
,,,Ube2c,Socs3,,,Ackr3,
,,,Serinc5,Lifr,,,Cdh17,
,,,Cenpa,Bcl2a1a,,,Ackr2,
,,,Ccnb1,Bcl2a1d,,,Itga4,
,,,Plk1,Bcl2a1b,,,Naip2,
,,,Cenpf,Hhex,,,Birc6,
,,,Tgfa,Dock10,,,Bcl2,
,,,Tpx2,Hivep3,,,Traf1,
,,,Depdc1b,Samsn1,,,Malt1,
,,,Gpd1l,Irf4,,,Ccnd3,
,,,Polh,Gimap4,,,Rb1,
,,,Cep55,Ptger4,,,,
,,,Nek2,Fscn1,,,,
,,,Zkscan16,Marcks,,,,
,,,Lmo4,Ier2,,,,
,,,Gas2l3,Snn,,,,
,,,Ptgr1,Bhlhe40,,,,
,,,Aspm,Slpi,,,,
,,,Rnf125,Matr3,,,,
,,,Cxcr4,Rapgef4,,,,
,,,Kif20a,Rilpl2,,,,
,,,Kif2c,Gadd45g,,,,
,,,Rabgap1l,Cfp,,,,
,,,Bub1,Tyms,,,,
,,,Nebl,Mdn1,,,,
,,,Lig4,,,,,
,,,Neil1,,,,,
,,,Pde2a,,,,,
,,,Ehf,,,,,
,,,Racgap1,,,,,
,,,Cdca8,,,,,
,,,Cdc14b,,,,,
,,,Cdc25c,,,,,
,,,Lipc,,,,,
,,,Mprip,,,,,
,,,Aurka,,,,,
,,,Gpsm2,,,,,
,,,Spdya,,,,,
,,,Akap12,,,,,
,,,Kif22,,,,,
,,,Birc5,,,,,
,,,Pfn2,,,,,
,,,Ddx19a,,,,,
,,,Ldlrad4,,,,,
,,,Gcsam,,,,,